Ant is Monster,ant
Iceperson is Monster,atzmoch
Avar is Monster,avar
avar chieftain,avar chieftain
avar leader of the bone faction,avar leader of the bone faction
avar shaman,avar shaman
AvarShaman is Monster,avarya
SpiderBaby is Monster,baby spider
battered skeleton,battered skeleton
DeathSpider is Monster,black spider
OrcPitBossBody is Monster,body of the orc pit boss
bone faction shaman,bone faction shaman
CaveOrc is Monster,cave orc
Centipede is Monster,centipede
Skeleton is Monster,chaleoc
chyup-tewee faction warrior,chyup-tewee faction warrior
Council is Monster,Councilor
Cow is Monster,cow
LivingStatue is Monster,crumbled living statue
daemon skeleton,daemon skeleton
DarkAngel is Monster,dark angel
Ant is Monster,dead ant
AvarShaman is Monster,dead avar shaman
SpiderBaby is Monster,dead baby spider
dead battered skeleton,dead battered skeleton
CaveOrc is Monster,dead cave orc
Centipede is Monster,dead centipede
Cow is Monster,dead cow
dead daemon skeleton,dead daemon skeleton
DarkAngel is Monster,dead dark angel
DragonFly is Monster,dead dragonfly
DragonFlyQueen is Monster,dead dragonfly queen
DuskRat is Monster,dead dusk rat
EvilTwin is Monster,dead evil twin
FactionTroop is Monster,dead faction troop
EvilFairy is Monster,dead fey
Fairy is Monster,dead fey
Frogman is Monster,dead frogman
FungusBeast is Monster,dead fungus beast
Ghost is Monster,dead ghost
GiantRat is Monster,dead giant rat
dead groundworm larva,dead groundworm larva
dead groundworm queen,dead groundworm queen
Guard is Monster,dead guard cow
Lupogg is Monster,dead lupogg
LupoggKing is Monster,dead lupogg king
dead ma'xeochicatl,dead ma'xeochicatl
Mummy is Monster,dead mummy
RedAnt is Monster,dead mutant ant
NarthylWorm is Monster,dead narthyl worm
dead necromancer,dead necromancer
Orc is Monster,dead orc
OrcWizard is Monster,dead orc
OrcPitBoss is Monster,dead orc pit boss
DragonFlyPet is Monster,dead pet dragonfly
SpiderQueen is Monster,dead queen spider
dead rebel soldier,dead rebel soldier
Reflection is Monster,dead reflection
EvilEnt is Monster,dead remains of diseased tree
Ent is Monster,dead remains of living tree
dead ro'xeochicatl,dead ro'xeochicatl
Scorpion is Monster,dead scorpion
dead shadow mummy,dead shadow mummy
Slime is Monster,dead slime
SnowRat is Monster,dead snow rat
dead soldier,dead soldier
SpectralMummy is Monster,dead spectral mummy
DeathSpider is Monster,dead spider
Spider is Monster,dead spider
StoneTroll is Monster,dead stone troll
dead te'xeochicatl,dead te'xeochicatl
Thrasher is Monster,dead thrasher
dead town guard,dead town guard
Troll is Monster,dead troll
dead tusked skeleton,dead tusked skeleton
dead ve'xeochicatl,dead ve'xeochicatl
Yeti is Monster,dead yeti
EvilEnt is Monster,diseased tree
DragonFly is Monster,dragonfly
DragonFlyQueen is Monster,dragonfly queen
DuskRat is Monster,dusk rat
EvilTwin is Monster,evil twin
FactionTroop is Monster,faction troop
Ghost is Monster,far'nohl kotezleoc
EvilFairy is Monster,fey dirhai
Fairy is Monster,fey elhai
AvarChieftain is Monster,former avar chieftain
