Ant is Monster,ant,ant.bgf
Iceperson is Monster,atzmoch,iceper_torso.bgf
Avar is Monster,avar,avwar.bgf
AvarChieftain is Monster,avar chieftain,avchief.bgf
AvarChieftain is Monster,avar leader of the bone faction,avchief.bgf
AvarShaman is Monster,avar shaman,avsham.bgf
AvarShaman is Monster,avarya,avsham.bgf
SpiderBaby is Monster,baby spider,spdrby.bgf
battered skeleton,battered skeleton,skelbody.bgf|skelhed3.bgf
DeathSpider is Monster,black spider,spidmagc.bgf
OrcPitBossBody is Monster,body of the orc pit boss,OrcPitbX.bgf
AvarShaman is Monster,bone faction shaman,avsham.bgf
CaveOrc is Monster,cave orc,OrcCave.bgf
Centipede is Monster,centipede,centip.bgf
Skeleton is Monster,chaleoc,skelbody.bgf
Avar is Monster,chyup-tewee faction warrior,avwar.bgf
Council is Monster,Councilor,hermit.bgf
Cow is Monster,cow,cow.bgf
LivingStatue is Monster,crumbled living statue,playerXa.bgf|playerXb.bgf
daemon skeleton,daemon skeleton,skelbody.bgf|skelhed4.bgf
DarkAngel is Monster,dark angel,angel.bgf
Ant is Monster,dead ant,ant.bgf
AvarShaman is Monster,dead avar shaman,avsham.bgf
SpiderBaby is Monster,dead baby spider,spdrby.bgf
dead battered skeleton,dead battered skeleton,skelX.bgf
CaveOrc is Monster,dead cave orc,OrcCave.bgf
Centipede is Monster,dead centipede,centip.bgf
Cow is Monster,dead cow,cow.bgf
dead daemon skeleton,dead daemon skeleton,skelX.bgf
DarkAngel is Monster,dead dark angel,angel.bgf
DragonFly is Monster,dead dragonfly,dfly.bgf
DragonFlyQueen is Monster,dead dragonfly queen,dflo.bgf
DuskRat is Monster,dead dusk rat,rat.bgf
EvilTwin is Monster,dead evil twin,amoebaX.bgf
FactionTroop is Monster,dead faction troop,playerXa.bgf|playerXb.bgf
EvilFairy is Monster,dead fey,faerie-e.bgf
Fairy is Monster,dead fey,faerie-g.bgf
Frogman is Monster,dead frogman,frogman.bgf
FungusBeast is Monster,dead fungus beast,fungbst.bgf
Ghost is Monster,dead ghost,ghost.bgf
GiantRat is Monster,dead giant rat,rat.bgf
dead groundworm larva,dead groundworm larva,wormsX.bgf
dead groundworm queen,dead groundworm queen,wormlX.bgf
Guard is Monster,dead guard cow,cow.bgf
Lupogg is Monster,dead lupogg,lupogg.bgf
LupoggKing is Monster,dead lupogg king,lupking.bgf
dead ma'xeochicatl,dead ma'xeochicatl,xeoX.bgf
Mummy is Monster,dead mummy,mummy.bgf
RedAnt is Monster,dead mutant ant,antr.bgf
NarthylWorm is Monster,dead narthyl worm,darkbeas.bgf
NecromancerTroop is Monster,dead necromancer,playerXa.bgf|playerXb.bgf
Orc is Monster,dead orc,orc.bgf
OrcWizard is Monster,dead orc,orcwiza.bgf
OrcPitBoss is Monster,dead orc pit boss,OrcPitB.bgf
DragonFlyPet is Monster,dead pet dragonfly,dflypet.bgf
SpiderQueen is Monster,dead queen spider,spdrqu.bgf
RebelTroop is Monster,dead rebel soldier,playerXa.bgf|playerXb.bgf
Reflection is Monster,dead reflection,btg.bgf
EvilEnt is Monster,dead remains of diseased tree,res0003a.bgf
Ent is Monster,dead remains of living tree,res0003a.bgf
dead ro'xeochicatl,dead ro'xeochicatl,xeoX.bgf
Scorpion is Monster,dead scorpion,scorp.bgf
